Enhanced Chord Analysis Results
==================================================

Source File: /home/dusitn/Downloads/The Devil's Quiet Hour  (Remastered) (Remix).mp3
Key Signature: B Minor
Total Chord Segments: 948
Analysis Duration: 215.2 seconds

Chord Progression:
--------------------------------------------------
    Time           Chord     Duration
    47.3s             C11         0.0s
    47.3s           C7#11         0.7s
    48.0s          C6sus4         0.1s
    48.1s          C6sus4         0.1s
    48.2s            Am11         0.1s
    48.2s             C13         0.0s
    48.3s            Am11         0.0s
    48.3s            AmM7         0.1s
    48.4s            Am13         0.0s
    48.4s             C13         0.0s
    48.4s             BM9         0.1s
    48.5s            CmM7         0.1s
    48.6s             C13         0.1s
    48.6s            Am11         0.0s
    48.6s            Cm13         0.0s
    48.7s          C6sus4         0.0s
    48.7s            Cm13         0.0s
    48.7s             C13         0.3s
    49.0s        Cmaj7#11         0.3s
    49.3s        Gmaj7#11         0.0s
    49.3s       F#maj7#11         0.0s
    49.3s            C#11         0.0s
    49.3s        Fmaj7#11         0.0s
    49.4s           B7#11         0.4s
    49.8s          B6sus4         0.3s
    50.0s          B6sus4         0.0s
    50.0s             BM9         0.3s
    50.4s             BM9         0.0s
    50.4s          B6sus4         0.3s
    50.7s             BM9         0.0s
    50.7s            BmM7         0.0s
    50.7s             BM9         0.3s
    51.1s             E11         1.4s
    52.5s            Em11         0.3s
    52.8s             E13         0.3s
    53.1s            B7#9         0.1s
    53.2s             B11         0.0s
    53.3s            B7#9         0.3s
    53.5s        Cmaj7#11         1.2s
    54.8s            Bm13         0.0s
    54.8s             Bm9         0.6s
    55.4s            BmM7         0.2s
    55.5s       A#maj7#11         0.2s
    55.7s            Em11         0.5s
    56.2s           Esus2         0.0s
    56.3s          Emadd9         0.1s
    56.3s            EmM7         0.2s
    56.6s          E6sus4         0.2s
    56.7s        Emaj7#11         0.1s
    56.8s             EM9         0.5s
    57.3s             D11         0.0s
    57.4s             E11         0.1s
    57.5s             EM9         0.0s
    57.5s             E11         0.4s
    57.9s            Am13         0.0s
    58.0s             C13         0.2s
    58.2s            Am11         0.0s
    58.2s             Am7         0.4s
    58.6s           Csus2         0.0s
    58.6s          C6sus4         0.1s
    58.7s            A7#9         0.1s
    58.8s          Aadd11         1.2s
    60.0s            Em11         0.8s
    60.9s             C11         0.0s
    60.9s             FM9         0.2s
    61.1s          E6sus4         0.4s
    61.5s            Em11         0.0s
    61.6s            Em13         0.6s
    62.1s            Bm11         0.2s
    62.3s           Bsus4         0.0s
    62.3s             B11         0.0s
    62.3s           Bsus4         0.5s
    62.8s            BmM7         2.1s
    64.9s           Csus4         0.0s
    64.9s             CM7         0.1s
    65.0s             CM9         0.8s
    65.7s          C6sus4         0.3s
    66.0s        Cmaj7#11         0.1s
    66.1s             B11         0.1s
    66.2s             B11         0.2s
    66.3s             B13         0.4s
    66.8s             BM9         0.1s
    66.9s          B6sus4         0.4s
    67.3s           Esus2         0.1s
    67.4s        Emaj7#11         0.4s
    67.8s           C#m11         0.3s
    68.0s        Amaj7#11         1.3s
    69.3s           Esus4         0.0s
    69.3s          E6sus4         0.1s
    69.4s             FM7         0.1s
    69.5s             FM7         0.2s
    69.7s             FM7         0.2s
    69.9s          Dmadd9         0.3s
    70.1s             FM9         0.1s
    70.2s        Cmaj7#11         0.8s
    71.1s            Bm11         0.0s
    71.1s            BmM7         0.1s
    71.2s            BmM7         0.1s
    71.3s            Bm11         0.1s
    71.4s          A6sus4         0.8s
    72.2s            BmM7         0.1s
    72.3s             D13         1.3s
    73.5s             FM7         0.2s
    73.7s             FM9         0.3s
    74.0s            G#M7         0.0s
    74.0s          Fmadd9         0.4s
    74.4s            G7#9         0.3s
    74.7s            Bm13         0.7s
    75.4s            BmM7         0.1s
    75.5s            BmM7         1.0s
    76.5s            E7#9         0.3s
    76.8s            Em11         0.1s
    76.9s          E6sus4         0.7s
    77.6s             C11         0.1s
    77.7s          G6sus4         0.1s
    77.8s           Esus2         0.2s
    78.0s          E6sus4         0.3s
    78.3s       D#maj7#11         1.1s
    79.4s            BmM7         0.1s
    79.6s             BM9         0.1s
    79.7s             AM9         0.0s
    79.7s           Asus2         0.3s
    80.0s            BmM7         0.2s
    80.2s            BmM7         0.1s
    80.3s            BmM7         0.1s
    80.4s             D11         0.9s
    81.3s           Esus4         0.2s
    81.5s          E6sus4         0.3s
    81.8s            Em11         0.0s
    81.8s             E11         0.1s
    81.9s       A#maj7#11         0.2s
    82.1s             DM9         0.3s
    82.4s            BmM7         0.1s
    82.5s           Dm6/9         0.0s
    82.6s            Dm13         0.0s
    82.6s             A11         1.4s
    84.0s            Bm13         0.0s
    84.1s          Bmadd9         0.0s
    84.1s           Bm6/9         0.0s
    84.1s            BmM7         0.5s
    84.6s            Bm11         0.0s
    84.6s            BmM7         0.3s
    84.8s            B7#9         1.2s
    86.0s            EmM7         0.2s
    86.2s            B7#9         0.0s
    86.2s           Dsus2         0.4s
    86.6s             E13         0.0s
    86.6s             E11         0.1s
    86.7s           Dsus2         0.3s
    87.0s            Bm13         0.8s
    87.8s          B6sus4         0.3s
    88.2s            BmM7         0.2s
    88.4s            Daug         0.1s
    88.5s            BmM7         0.2s
    88.8s            Dm13         0.1s
    88.9s            BmM7         0.3s
    89.2s            BmM7         0.0s
    89.2s            Am11         0.3s
    89.5s             CM9         0.0s
    89.5s             CM7         0.6s
    90.1s             CM9         0.2s
    90.3s             C13         0.1s
    90.4s          B6sus4         0.0s
    90.4s             CM9         0.0s
    90.4s             CM7         0.3s
    90.7s             Am6         0.1s
    90.7s             Am6         0.0s
    90.8s            AmM7         0.0s
    90.8s            Am13         0.0s
    90.8s            Am11         0.3s
    91.2s           C#7#9         0.0s
    91.2s       F#maj7#11         0.0s
    91.2s            Bm13         0.5s
    91.7s           Bsus2         0.3s
    92.1s            BmM7         0.1s
    92.2s            Bm13         0.1s
    92.3s           Bm6/9         0.1s
    92.4s             DM9         0.0s
    92.4s          D6sus4         0.0s
    92.4s             D13         0.2s
    92.6s             GM9         0.6s
    93.2s             AM9         0.8s
    94.0s             EM9         0.0s
    94.0s             EM7         0.5s
    94.5s             G13         0.0s
    94.5s             GM7         0.1s
    94.6s             GM7         0.1s
    94.7s            EmM7         0.0s
    94.7s           Esus2         0.3s
    95.0s             E11         0.0s
    95.1s            Dm11         0.1s
    95.1s           Bm6/9         0.1s
    95.2s             G13         0.0s
    95.2s             GM9         0.0s
    95.2s            BmM7         0.5s
    95.8s          Badd11         0.3s
    96.1s             B11         0.1s
    96.2s             BM9         0.0s
    96.2s             B11         0.0s
    96.2s            Bm13         0.3s
    96.5s             D13         0.3s
    96.8s            BmM7         0.2s
    97.0s            Bm13         0.5s
    97.5s       A#maj7#11         0.7s
    98.2s             E11         0.4s
    98.6s             D11         0.0s
    98.6s             DM9         0.1s
    98.8s            BmM7         0.2s
    98.9s            B7#9         0.1s
    99.1s           Csus2         0.0s
    99.1s            CmM7         0.3s
    99.4s            BmM7         0.0s
    99.4s            Bm11         0.5s
    99.9s             BM9         0.3s
   100.2s            Bm13         0.0s
   100.3s            Bm11         0.0s
   100.3s            BmM7         0.1s
   100.4s             BM7         0.1s
   100.5s            BmM7         0.1s
   100.6s            Bm13         0.3s
   101.0s            Bm11         0.6s
   101.5s             DM9         0.2s
   101.7s             E11         0.2s
   101.9s             E11         0.9s
   102.8s           Dsus2         0.0s
   102.8s       D#maj7#11         0.0s
   102.9s             BM9         0.1s
   103.0s            Em11         0.1s
   103.1s            Bm11         0.1s
   103.2s              D6         0.0s
   103.2s            D6/9         0.0s
   103.2s          D6sus4         0.0s
   103.3s           Dsus2         0.1s
   103.4s            Bm11         0.0s
   103.4s            BmM7         0.6s
   103.9s             BM9         0.5s
   104.4s             BM9         0.1s
   104.5s            Bm11         0.0s
   104.6s            BmM7         0.2s
   104.8s             B11         0.0s
   104.8s            B7#9         0.1s
   104.9s             D11         0.0s
   104.9s             D13         0.1s
   105.0s             D13         0.2s
   105.1s           Dsus2         0.1s
   105.2s       A#maj7#11         0.0s
   105.3s            BmM7         0.3s
   105.5s            Bm11         0.1s
   105.6s             A11         0.0s
   105.6s            Bm11         0.0s
   105.7s            BmM7         0.0s
   105.7s             BM9         0.0s
   105.7s            BmM7         0.1s
   105.8s            Bm11         0.0s
   105.8s           C7#11         0.5s
   106.3s             CM7         0.1s
   106.3s             CM9         0.2s
   106.6s           Cadd9         0.3s
   106.8s             CM9         0.1s
   106.9s           Cadd9         0.5s
   107.4s             CM9         0.0s
   107.5s             CM7         0.3s
   107.8s            Am13         0.0s
   107.8s          C6sus4         0.0s
   107.8s            A7#9         0.0s
   107.9s       F#maj7#11         0.1s
   107.9s        Bmaj7#11         0.0s
   108.0s            Bm11         1.0s
