Enhanced Chord Analysis Results
==================================================

Source File: /home/dusitn/Downloads/The Devil's Quiet Hour  (Remastered) (Remix).mp3
Key Signature: B Minor
Total Chord Segments: 948
Analysis Duration: 215.2 seconds

Chord Progression:
--------------------------------------------------
    Time           Chord     Duration
   190.3s          C6sus4         0.0s
   190.3s             C11         0.6s
   190.8s            C6/9         0.2s
   191.1s             CM7         0.2s
   191.3s             CM9         0.0s
   191.3s            C6/9         0.4s
   191.7s            Bm13         0.2s
   191.9s             B11         0.1s
   192.0s           Asus2         0.4s
   192.4s            Bm11         0.2s
   192.5s            Bm13         1.2s
   193.8s             C13         0.2s
   194.0s             C13         0.3s
   194.3s          C6sus4         0.6s
   194.8s             C11         0.2s
   195.0s             C13         0.4s
   195.4s          C6sus4         0.0s
   195.4s           Cdim7         0.0s
   195.4s            Cdim         0.0s
   195.4s           Csus4         0.4s
   195.8s        Cmaj7#11         0.1s
   196.0s            BmM7         0.6s
   196.6s             BM9         0.0s
   196.6s            BmM7         0.1s
   196.7s            BmM7         0.6s
   197.3s          Bmadd9         0.3s
   197.6s          B6sus4         0.3s
   197.9s            CmM7         0.1s
   198.0s            C7b5         0.0s
   198.0s           Cdim7         0.1s
   198.1s          C6sus4         0.1s
   198.3s          C6sus4         0.6s
   198.9s             CM7         0.3s
   199.1s           Csus4         0.9s
   200.0s        Cmaj7#11         0.0s
   200.0s            BmM7         0.3s
   200.3s           Bsus2         0.0s
   200.3s            BmM7         0.0s
   200.3s             GM7         0.2s
   200.6s            Bm11         0.1s
   200.6s            Bm11         0.0s
   200.6s            BmM7         0.6s
   201.2s            Bm13         0.0s
   201.3s            BmM7         0.1s
   201.4s            BmM7         0.3s
   201.7s          D6sus4         0.0s
   201.7s          Bmadd9         0.4s
   202.1s            Em11         0.0s
   202.1s             C11         0.5s
   202.6s             E13         0.1s
   202.6s              E7         0.5s
   203.2s           Esus4         0.1s
   203.3s            Em13         0.1s
   203.4s           Esus2         0.4s
   203.8s           Esus2         0.1s
   203.9s            Em11         0.2s
   204.1s       A#maj7#11         0.0s
   204.1s        Fmaj7#11         0.1s
   204.2s           E7#11         0.0s
   204.2s            Bm13         0.0s
   204.2s        Bmaj7#11         0.0s
   204.3s             B13         0.2s
   204.5s             BM9         0.7s
   205.2s            BmM7         0.1s
   205.3s          D6sus4         0.0s
   205.4s            BmM7         0.2s
   205.5s             Bm7         0.1s
   205.6s            BmM7         0.2s
   205.8s           Asus4         0.1s
   205.9s            Bm13         0.5s
   206.4s       A#maj7#11         0.4s
   206.8s             Em7         0.1s
   206.9s           Em6/9         0.0s
   207.0s            EmM7         0.1s
   207.1s          E6sus4         0.3s
   207.4s          E6sus4         0.1s
   207.5s           Esus2         0.0s
   207.5s            Em13         0.1s
   207.6s             G11         0.1s
   207.7s            G7#9         0.1s
   207.8s           A#mM7         0.2s
   208.0s           Asus2         0.5s
   208.5s             B13         0.9s
   209.4s             B13         1.2s
   210.6s            Em11         2.1s
   212.7s          E6sus4         0.7s
   213.3s            C7#9         0.3s
   213.7s            B7#9         0.2s
   213.9s            Am13         0.2s
   214.1s           C#7#9         0.2s
   214.3s            Cm11         0.1s
   214.3s           A#m11         0.2s
   214.5s            G7#9         0.0s
   214.6s            A#13         0.1s
   214.6s           A#7#9         0.0s
   214.7s          A#7#11         0.1s
   214.8s       A#maj7#11         0.1s
   214.9s          A#7#11         0.0s
   214.9s        Bmaj7#11         0.1s
   215.0s       A#maj7#11         0.2s
   215.2s            N.C.          ---
